,Number of Bachelor's Degrees,Percent Financial Aid,Average Amount of Aid,Retention Rate,Enrollment,Percent Women,Percent In State,Percent Out of State,Percent Foreign,Percent Unknown,Graduation Rate,Percent Awarded,Total Staff,Instructional Staff,SA Staff,Librarian Staff,Percent Books,Percent Digital,Percent Admitted,Total Price
0,208.0,100.0,32400.0,79.0,996,99.0,59.0,36.0,4.0,0.0,69.0,66.0,357.0,105.0,56.0,62.0,41,12,70.0,55625.0
1,310.0,100.0,40855.0,75.0,1533,54.0,66.0,32.0,1.0,0.0,64.0,61.0,435.0,132.0,21.0,27.0,37,54,68.0,59470.0
2,398.0,100.0,39796.0,68.0,1912,60.0,53.0,46.0,1.0,0.0,51.0,48.0,355.0,123.0,17.0,21.0,28,13,62.0,60636.0
3,382.0,100.0,38689.0,82.0,1771,56.0,50.0,45.0,4.0,0.0,74.0,70.0,426.0,160.0,41.0,50.0,27,46,64.0,63180.0
4,61.0,97.0,10055.0,37.0,698,45.0,64.0,34.0,0.0,2.0,31.0,10.0,115.0,41.0,4.0,7.0,20,76,64.0,23170.0
5,14.0,86.0,25048.0,70.0,68,63.0,83.0,17.0,0.0,0.0,60.0,27.0,115.0,12.0,0.0,5.0,38,51,96.0,54615.0
6,482.0,68.0,57627.0,96.0,1855,50.0,11.0,81.0,7.0,0.0,93.0,86.0,971.0,258.0,24.0,49.0,42,46,13.0,73966.0
7,22.0,100.0,30072.0,47.0,102,62.0,32.0,68.0,0.0,0.0,66.0,62.5,118.0,24.0,7.0,12.0,42,46,84.0,52628.0
8,331.0,100.0,23413.0,75.0,1578,59.0,84.0,13.0,3.0,0.0,61.0,33.0,323.0,127.0,31.0,40.0,28,64,69.0,44588.0
9,583.0,100.0,29396.0,88.0,2543,57.0,71.0,17.0,11.0,1.0,74.0,71.0,588.0,217.0,7.0,16.0,48,2,64.0,54907.0
10,270.0,100.0,30830.0,82.0,1280,51.0,93.0,6.0,1.0,1.0,70.0,69.0,298.0,109.0,3.0,13.0,79,15,55.0,55137.0
