,esports_match_id,map_type,map_name,stat_name,stat_amount
8249,30993,CONTROL,Nepal,Assists,17.0
8250,30993,CONTROL,Nepal,Average Time Alive,85.4270025
8251,30993,CONTROL,Nepal,Barrier Damage Done,1490.0
8252,30993,CONTROL,Nepal,Damage - Quick Melee,280.77358250000003
8253,30993,CONTROL,Nepal,Damage Done,6340.371454
8254,30993,CONTROL,Nepal,Damage Taken,2068.897856
8255,30993,CONTROL,Nepal,Deaths,4.0
8256,30993,CONTROL,Nepal,Defensive Assists,16.0
8257,30993,CONTROL,Nepal,Eliminations,22.0
8258,30993,CONTROL,Nepal,Environmental Deaths,1.0
8259,30993,CONTROL,Nepal,Final Blows,5.0
8260,30993,CONTROL,Nepal,Healing Done,9174.509699
8261,30993,CONTROL,Nepal,Hero Damage Done,6340.371454
8262,30993,CONTROL,Nepal,Knockback Kills,13.0
8263,30993,CONTROL,Nepal,Melee Final Blows,2.0
8264,30993,CONTROL,Nepal,Melee Percentage of Final Blows,0.4
8265,30993,CONTROL,Nepal,Objective Kills,8.0
8266,30993,CONTROL,Nepal,Objective Time,64.90400196
8267,30993,CONTROL,Nepal,Offensive Assists,27.0
8268,30993,CONTROL,Nepal,Shots Fired,897.0
8269,30993,CONTROL,Nepal,Solo Kills,1.0
8270,30993,CONTROL,Nepal,Time Alive,597.9890174999999
8271,30993,CONTROL,Nepal,Time Building Ultimate,575.3230164
8272,30993,CONTROL,Nepal,Time Elapsed per Ultimate Earned,98.927038
8273,30993,CONTROL,Nepal,Time Holding Ultimate,39.54300114
8275,30993,CONTROL,Nepal,Ultimates Earned - Fractional,5.815629661
8276,30993,CONTROL,Nepal,Ultimates Used,3.0
8277,30993,CONTROL,Nepal,Weapon Accuracy,0.335492228
8330,30993,CONTROL,Nepal,All Damage Done,16242.376180000001
8331,30993,CONTROL,Nepal,Assists,16.0
8332,30993,CONTROL,Nepal,Average Time Alive,57.34687672
8333,30993,CONTROL,Nepal,Barrier Damage Done,5849.959477
8334,30993,CONTROL,Nepal,Damage - Quick Melee,55.39009666
8335,30993,CONTROL,Nepal,Damage Done,10391.4167
8336,30993,CONTROL,Nepal,Damage Taken,5067.381203
8337,30993,CONTROL,Nepal,Deaths,6.0
8338,30993,CONTROL,Nepal,Eliminations,30.0
8339,30993,CONTROL,Nepal,Final Blows,14.0
8340,30993,CONTROL,Nepal,Healing Done,1215.726957
8341,30993,CONTROL,Nepal,Hero Damage Done,10391.4167
8342,30993,CONTROL,Nepal,Melee Final Blows,1.0
8343,30993,CONTROL,Nepal,Melee Percentage of Final Blows,0.071428571
8344,30993,CONTROL,Nepal,Multikills,1.0
8345,30993,CONTROL,Nepal,Objective Kills,12.0
8346,30993,CONTROL,Nepal,Objective Time,48.40500146
8347,30993,CONTROL,Nepal,Shots Fired,5444.0
8348,30993,CONTROL,Nepal,Time Alive,577.9790172999999
8349,30993,CONTROL,Nepal,Time Building Ultimate,507.524015
8350,30993,CONTROL,Nepal,Time Elapsed per Ultimate Earned,96.22217962
8351,30993,CONTROL,Nepal,Time Holding Ultimate,123.2070037
8353,30993,CONTROL,Nepal,Ultimates Earned - Fractional,5.274501336
8354,30993,CONTROL,Nepal,Ultimates Used,3.0
8355,30993,CONTROL,Nepal,Weapon Accuracy,0.302754331
8447,30993,CONTROL,Nepal,All Damage Done,9330.460976
8448,30993,CONTROL,Nepal,Assists,20.0
8449,30993,CONTROL,Nepal,Average Time Alive,63.78133525
8450,30993,CONTROL,Nepal,Barrier Damage Done,2738.75
8451,30993,CONTROL,Nepal,Damage Blocked,3921.162917
8452,30993,CONTROL,Nepal,Damage Done,6588.960975999999
8453,30993,CONTROL,Nepal,Damage Taken,5528.734286
8454,30993,CONTROL,Nepal,Deaths,6.0
8455,30993,CONTROL,Nepal,Eliminations,28.0
8456,30993,CONTROL,Nepal,Final Blows,8.0
8457,30993,CONTROL,Nepal,Healing Done,424.7197375
8458,30993,CONTROL,Nepal,Hero Damage Done,6588.960975999999
8459,30993,CONTROL,Nepal,Multikills,1.0
8460,30993,CONTROL,Nepal,Objective Kills,9.0
8461,30993,CONTROL,Nepal,Objective Time,38.00300114
8462,30993,CONTROL,Nepal,Offensive Assists,4.0
8463,30993,CONTROL,Nepal,Shots Fired,246.0
8464,30993,CONTROL,Nepal,Time Alive,577.9730174
8465,30993,CONTROL,Nepal,Time Building Ultimate,553.5300162000001
8466,30993,CONTROL,Nepal,Time Elapsed per Ultimate Earned,104.42117579999999
8467,30993,CONTROL,Nepal,Time Holding Ultimate,130.0310038
8469,30993,CONTROL,Nepal,Ultimates Earned - Fractional,5.300936443
8470,30993,CONTROL,Nepal,Ultimates Used,3.0
8471,30993,CONTROL,Nepal,Weapon Accuracy,0.258064516
8524,30993,CONTROL,Nepal,All Damage Done,14994.282319999998
8525,30993,CONTROL,Nepal,Assists,15.0
8526,30993,CONTROL,Nepal,Average Time Alive,64.10800193
8527,30993,CONTROL,Nepal,Barrier Damage Done,4800.0
8528,30993,CONTROL,Nepal,Damage Blocked,15473.46609
8529,30993,CONTROL,Nepal,Damage Done,10135.2813
8530,30993,CONTROL,Nepal,Damage Taken,14292.637530000002
8531,30993,CONTROL,Nepal,Deaths,7.0
8532,30993,CONTROL,Nepal,Eliminations,24.0
8533,30993,CONTROL,Nepal,Final Blows,9.0
8534,30993,CONTROL,Nepal,Hero Damage Done,10135.2813
8535,30993,CONTROL,Nepal,Multikills,2.0
8536,30993,CONTROL,Nepal,Objective Kills,7.0
8537,30993,CONTROL,Nepal,Objective Time,45.31800137
8538,30993,CONTROL,Nepal,Offensive Assists,5.0
8539,30993,CONTROL,Nepal,Time Alive,576.9720173999999
8540,30993,CONTROL,Nepal,Time Building Ultimate,543.0550159
8541,30993,CONTROL,Nepal,Time Elapsed per Ultimate Earned,76.79025526
8542,30993,CONTROL,Nepal,Time Holding Ultimate,76.94600229
8544,30993,CONTROL,Nepal,Ultimates Earned - Fractional,7.071926171
8545,30993,CONTROL,Nepal,Ultimates Used,6.0
8582,30993,CONTROL,Nepal,All Damage Done,13616.85244
8583,30993,CONTROL,Nepal,Assists,18.0
8584,30993,CONTROL,Nepal,Average Time Alive,110.40594080000001
8585,30993,CONTROL,Nepal,Barrier Damage Done,5481.991577000001
8586,30993,CONTROL,Nepal,Damage - Quick Melee,140.0
8587,30993,CONTROL,Nepal,Damage Blocked,11650.441209999999
8588,30993,CONTROL,Nepal,Damage Done,7901.616873999999
8589,30993,CONTROL,Nepal,Damage Taken,12755.71317
8590,30993,CONTROL,Nepal,Deaths,6.0
8591,30993,CONTROL,Nepal,Eliminations,23.0
8592,30993,CONTROL,Nepal,Environmental Deaths,2.0
8593,30993,CONTROL,Nepal,Final Blows,5.0
8594,30993,CONTROL,Nepal,Hero Damage Done,7901.616873999999
8595,30993,CONTROL,Nepal,Knockback Kills,2.0
8596,30993,CONTROL,Nepal,Objective Kills,10.0
8597,30993,CONTROL,Nepal,Objective Time,58.26100176
8598,30993,CONTROL,Nepal,Offensive Assists,11.0
8599,30993,CONTROL,Nepal,Shots Fired,10530.0
8600,30993,CONTROL,Nepal,Time Alive,578.0210175
8601,30993,CONTROL,Nepal,Time Building Ultimate,466.1230136
8602,30993,CONTROL,Nepal,Time Elapsed per Ultimate Earned,41.52113436
8603,30993,CONTROL,Nepal,Time Holding Ultimate,166.97000490000002
8605,30993,CONTROL,Nepal,Ultimates Earned - Fractional,11.22616279
8606,30993,CONTROL,Nepal,Ultimates Used,5.0
8607,30993,CONTROL,Nepal,Weapon Accuracy,0.371769384
8681,30993,CONTROL,Nepal,All Damage Done,9404.690733
8682,30993,CONTROL,Nepal,Assists,25.0
8683,30993,CONTROL,Nepal,Average Time Alive,95.17244731
8684,30993,CONTROL,Nepal,Barrier Damage Done,2504.3221670000003
8685,30993,CONTROL,Nepal,Damage - Quick Melee,30.0
8686,30993,CONTROL,Nepal,Damage Done,6898.368567
8687,30993,CONTROL,Nepal,Damage Taken,3335.717639
8688,30993,CONTROL,Nepal,Deaths,5.0
8689,30993,CONTROL,Nepal,Defensive Assists,36.0
8690,30993,CONTROL,Nepal,Eliminations,27.0
8691,30993,CONTROL,Nepal,Final Blows,2.0
8692,30993,CONTROL,Nepal,Healing Done,16350.746319999998
8693,30993,CONTROL,Nepal,Hero Damage Done,6898.368567
8694,30993,CONTROL,Nepal,Objective Kills,7.0
8695,30993,CONTROL,Nepal,Objective Time,43.91800132
8696,30993,CONTROL,Nepal,Offensive Assists,2.0
8697,30993,CONTROL,Nepal,Shots Fired,330.0
8698,30993,CONTROL,Nepal,Time Alive,587.9660177999999
8699,30993,CONTROL,Nepal,Time Building Ultimate,444.1390125
8700,30993,CONTROL,Nepal,Time Elapsed per Ultimate Earned,52.82739608
8701,30993,CONTROL,Nepal,Time Holding Ultimate,139.7840041
8703,30993,CONTROL,Nepal,Ultimates Earned - Fractional,8.407361434
8704,30993,CONTROL,Nepal,Ultimates Used,10.0
8705,30993,CONTROL,Nepal,Weapon Accuracy,0.444444444
9353,30993,HYBRID,King's Row,All Damage Done,8380.026617
9354,30993,HYBRID,King's Row,Assists,10.0
9355,30993,HYBRID,King's Row,Average Time Alive,57.17984783
9356,30993,HYBRID,King's Row,Barrier Damage Done,1835.0
9357,30993,HYBRID,King's Row,Damage - Quick Melee,334.8841858
9358,30993,HYBRID,King's Row,Damage Done,6524.026617
9359,30993,HYBRID,King's Row,Damage Taken,4741.0314579999995
9360,30993,HYBRID,King's Row,Deaths,12.0
