UnitID,Institution Name,Carnegie Classification 2018: Basic (HD2019),Number of students receiving a Bachelor's degree (DRVC2019),Percent of full-time first-time undergraduates awarded any financial aid (SFA1819),Average amount of federal  state  local or institutional grant aid awarded (SFA1819),Total price for out-of-state students living on campus 2018-19 (DRVIC2018),Percent admitted - men (DRVADM2018_RV),Percent admitted - women (DRVADM2018_RV),Full-time retention rate  2018 (EF2018D),Undergraduate enrollment (DRVEF2018),Percent of undergraduate enrollment that are women (DRVEF2018),Percent of first-time undergraduates - in-state (DRVEF2018),Percent of first-time undergraduates - out-of-state (DRVEF2018),Percent of first-time undergraduates - foreign countries (DRVEF2018),Percent of first-time undergraduates - residence unknown (DRVEF2018),Graduation rate  total cohort (DRVGR2018_RV),Percent full-time first-time receiving an award - 4 years (DRVOM2018_RV),Total FTE staff (DRVHR2018),Instructional FTE (DRVHR2018),Student and Academic Affairs and Other Education Services FTE (DRVHR2018),Librarians  Curators  and Archivists/Student and Academic Affairs and Other Education Services FTE (DRVHR2018),Physical books as a percent of the total library collection (DRVAL2018),Digital/Electronic books as a percent of the total library collection (DRVAL2018),Databases as a percent of the total library collection (DRVAL2018),
138600,Agnes Scott College,21,208,100,32400,55625,,70,79,996,99,59,36,4,0,69,66,357,105,56,62,41,12,0,
168546,Albion College,21,310,100,40855,59470,65,70,75,1533,54,66,32,1,0,64,61,435,132,21,27,37,54,0,
210571,Albright College,21,398,100,39796,60636,62,62,68,1912,60,53,46,1,0,51,48,355,123,17,21,28,13,0,
210669,Allegheny College,21,382,100,38689,63180,60,66,82,1771,56,50,45,4,0,74,70,426,160,41,50,27,46,0,
217624,Allen University,21,61,97,10055,23170,,,37,698,45,64,34,0,2,31,10,115,41,4,7,20,76,0,
116846,American Jewish University,21,14,86,25048,54615,89,100,70,68,63,83,17,0,0,60,27,115,12,0,5,38,51,0,
164465,Amherst College,21,482,68,57627,73966,14,12,96,1855,50,11,81,7,0,93,86,971,258,24,49,42,46,0,
483018,Antioch College,21,22,100,30072,52628,82,84,47,102,62,32,68,0,0,66,,118,24,7,12,42,46,0,
168786,Aquinas College,21,331,100,23413,44588,65,71,75,1578,59,84,13,3,0,61,33,323,127,31,40,28,64,0,
143084,Augustana College,21,583,100,29396,54907,62,65,88,2543,57,71,17,11,1,74,71,588,217,7,16,48,2,0,
222983,Austin College,21,270,100,30830,55137,56,55,82,1280,51,93,6,1,1,70,69,298,109,3,13,79,15,0,
446048,Ave Maria University,21,244,100,19906,36261,80,85,72,1087,52,42,56,2,0,56,51,211,80,17,20,36,46,0,
189088,Bard College,21,399,75,45183,72768,58,68,85,1882,60,28,56,17,0,75,69,865,257,110,145,40,55,0,
189097,Barnard College,21,680,51,48128,74777,0,14,95,2562,100,26,62,12,0,92,83,825,277,48,68,13,30,0,
160977,Bates College,21,469,44,44499,71168,20,16,94,1832,50,8,83,0,9,89,84,773,190,31,55,28,59,0,
238333,Beloit College,21,322,100,36958,61584,51,62,78,1275,55,13,67,20,0,79,64,336,124,0,9,29,37,0,
197993,Bennett College,21,56,100,22496,32817,,96,53,534,100,48,52,0,0,32,25,129,44,5,7,23,58,0,
230816,Bennington College,21,151,96,34712,73270,52,60,73,735,64,3,75,21,0,74,65,310,83,18,25,26,51,0,
156295,Berea College,21,306,100,44698,49854,39,38,83,1673,58,39,53,7,0,63,48,826,152,24,38,49,42,0,
237181,Bethany College,21,120,100,23575,44153,85,94,67,557,40,15,82,1,2,34,37,168,55,8,11,23,32,0,
173142,Bethany Lutheran College,21,128,99,20468,38370,79,77,80,739,52,67,20,13,1,55,50,134,50,13,16,25,11,0,
132602,Bethune-Cookman University,21,477,97,12103,29876,,,65,3620,62,72,27,2,0,34,14,568,200,24,36,15,62,0,
100937,Birmingham-Southern College,21,340,97,9176,34400,62,53,80,1268,52,62,37,1,0,68,61,314,108,22,28,40,35,0,
143288,Blackburn College,21,113,100,14804,31990,50,52,70,566,60,83,14,3,0,52,30,109,46,1,3,93,4,0,
183822,Bloomfield College,21,283,100,24648,45946,57,63,60,1662,62,95,4,1,0,34,11,301,114,11,12,32,66,0,
161004,Bowdoin College,21,472,56,46902,70710,12,9,98,1828,51,10,81,9,0,95,89,947,234,0,34,50,37,0,
139205,Brewton-Parker College,21,40,100,12966,31598,96,99,42,826,44,69,27,4,1,22,15,100,36,9,11,92,0,0,
231581,Bridgewater College,21,387,100,31304,51310,65,67,68,1839,56,76,22,2,0,64,57,369,130,18,26,78,17,0,
210492,Bryn Athyn College of the New Church,21,55,100,13867,36496,83,93,76,296,53,72,22,6,0,56,53,122,52,2,8,95,2,0,
211273,Bryn Mawr College,21,334,75,37144,70860,,34,92,1360,100,10,68,22,0,87,78,647,182,15,28,39,49,0,
211291,Bucknell University,21,864,59,33257,72750,31,35,92,3597,51,20,73,7,0,88,84,1341,417,38,51,41,50,0,
173258,Carleton College,21,461,78,39778,71325,19,20,97,2097,50,16,72,12,0,93,88,673,258,42,61,35,41,0,
158477,Centenary College of Louisiana,21,110,100,36817,54300,60,59,76,552,57,51,48,0,1,60,42,165,62,4,9,20,24,0,
153108,Central College,21,248,100,28754,52098,69,71,79,1117,51,71,29,0,0,72,58,400,109,9,13,75,7,0,
156408,Centre College,21,329,100,31099,55420,68,78,90,1434,51,56,39,5,0,81,85,433,133,18,23,50,16,0,
128780,Charter Oak State College,21,465,100,6629,,,,,1549,69,87,13,0,0,,,157,69,25,25,0,0,100,
211608,Cheyney University of Pennsylvania,21,103,94,14479,29729,,,36,466,59,85,15,0,0,15,5,132,37,0,3,83,5,0,
198303,Chowan University,21,263,100,18808,37070,62,57,55,1395,51,57,42,2,0,29,12,226,65,30,33,15,53,0,
112260,Claremont McKenna College,21,327,52,49354,73810,10,9,96,1324,48,35,47,18,0,93,86,472,176,37,37,29,62,0,
153144,Coe College,21,277,100,35805,57200,66,68,75,1422,56,40,57,2,0,66,61,343,141,2,9,38,59,0,
161086,Colby College,21,462,44,51610,71202,12,14,94,2000,52,8,81,11,0,90,84,732,220,41,74,21,27,0,
190099,Colgate University,21,742,51,48772,72275,23,27,94,2958,55,25,67,8,0,89,85,1021,347,32,55,54,32,0,
174747,College of Saint Benedict,21,403,100,30791,58668,,83,89,1782,100,77,18,4,2,80,84,448,156,20,28,28,55,0,
160959,College of the Atlantic,21,83,100,36310,54918,56,72,81,332,76,14,53,33,0,67,44,91,27,2,6,67,26,0,
166124,College of the Holy Cross,21,698,75,34476,69190,43,34,95,2939,51,37,60,3,0,92,87,1084,301,42,59,47,34,0,
126678,Colorado College,21,559,53,39286,71642,16,14,95,2114,55,13,77,9,0,89,80,862,225,89,112,45,37,0,
173300,Concordia College at Moorhead,21,441,100,27611,51798,59,63,85,2097,58,69,27,4,0,75,69,599,178,21,30,33,32,0,
128902,Connecticut College,21,403,94,31263,71970,31,42,91,1844,61,16,76,8,0,81,80,701,230,18,31,32,56,0,
153162,Cornell College,21,196,100,29720,58381,58,64,82,1028,48,20,74,6,0,76,66,267,83,20,28,12,36,0,
139393,Covenant College,21,215,100,22677,47430,97,97,86,1002,52,26,70,4,0,71,58,211,73,10,14,94,0,0,
198385,Davidson College,21,477,72,40880,68594,20,19,95,1843,48,18,73,7,2,90,89,817,215,22,41,24,60,0,
202523,Denison University,21,529,97,30320,66870,34,34,89,2394,54,18,65,16,1,85,78,726,266,9,29,22,64,0,
150400,DePauw University,21,505,99,35367,64924,60,65,91,2156,53,36,50,14,0,85,78,674,228,0,25,41,30,0,
212009,Dickinson College,21,597,84,38039,71339,47,50,92,2399,58,21,66,14,0,84,82,887,255,48,62,30,47,0,
158802,Dillard University,21,247,100,14388,33684,49,65,69,1309,76,53,47,0,0,42,42,286,83,24,26,99,0,0,
181020,Doane University,21,435,100,22350,48570,64,77,71,1008,45,64,35,1,0,65,58,297,102,5,7,14,61,0,
184348,Drew University,21,345,99,28355,57230,64,72,84,1668,58,56,36,7,1,62,57,491,184,38,50,55,26,0,
150455,Earlham College,21,194,100,36768,59850,62,69,82,1050,54,19,60,21,0,64,64,342,126,43,54,11,68,0,
144883,East-West University,21,72,97,7573,,,,33,394,47,99,1,0,0,10,8,51,20,12,14,33,12,0,
490850,East-West University,21,,,,,,,40,11,36,50,0,0,50,50,33,2,1,0,0,3,24,0,
133492,Eckerd College,21,416,99,25477,61576,62,70,82,2006,66,15,82,3,0,68,61,394,163,1,12,27,29,0,
212197,Elizabethtown College,21,497,100,31886,60460,74,77,89,1633,61,69,30,2,0,73,69,467,141,19,25,79,2,0,
165671,Emmanuel College,21,466,100,26833,58153,72,79,78,2089,75,58,41,1,0,66,60,337,129,0,5,23,71,0,
